Storm arrival rate, Cell intensity ratio, Cell duration shape, Cell duration scale, Cell arrival rate, Storm duration rate, Exponent
0.016679733103341976,0.971862948182735,9.017352714561754,0.9931496975448589,0.34970877070925505,0.08270236178820184,1.0
0.014834971620432569,0.10076132204494748,1.9396896645100572,20.0,0.4777588753311601,0.01132524931101031,1.0
0.027936700891423173,0.3895585286892378,1.714051296947114,2.9060603898671826,0.3199174060091618,0.056554130589550645,1.0
0.016620835455188106,0.5825706399792617,6.413327309967624,1.3839203193643048,0.6233942102796968,0.10119874619827689,1.0
0.006369085478597825,0.6776258915636291,0.38683247843880686,20.0,0.05837650492598989,0.003920452881661873,1.0
0.011295415035453166,0.8000102819129316,1.8354284155453873,4.739962249326723,0.18271267758399617,0.024211446315180934,1.0
0.012002528335218752,0.8380440868851337,0.9268424950769977,5.747103926611892,0.26900757580382945,0.046174540220891666,1.0
0.009020848873664817,0.8807606625278579,0.3145840579457047,0.7350820715788796,20.0,2.370882869182095,1.0
0.012756064104999474,0.17814484572129866,1.1736517237260184,20.0,0.43491289155835966,0.011501297060570315,1.0
0.01420394602016195,0.6612989512799228,0.1808433902462525,1.4612214143399207,20.0,2.357683741433707,1.0
0.01757293622442406,0.1658959900852743,1.148211820484845,9.981894159015521,0.8626612137425468,0.02659571638720849,1.0
0.015928321695606804,0.5780267666322166,0.7869838328057281,1.637152428624767,1.1159206764115992,0.13866393730892757,1.0
