Storm arrival rate, Cell intensity ratio, Cell duration shape, Cell duration scale, Cell arrival rate, Storm duration rate, Exponent
0.016679553441901973,0.9718718461549791,9.020952790940433,0.9931598084299242,0.3497042074827412,0.08270086992135006,1.0
0.014834966913533372,0.10076074990874806,1.9396848498950165,20.0,0.4777615082353056,0.011325257973587405,1.0
0.027936716514222276,0.3895599246643088,1.7140459058293862,2.9060353828747543,0.31991666090651555,0.05655428772378298,1.0
0.016620939789785183,0.582549917382897,6.409812416611548,1.3839405350856797,0.6234484448415216,0.10120407174895618,1.0
0.006369090164541902,0.6776254815630036,0.3868323274217218,20.0,0.05837658704893656,0.003920459785089037,1.0
0.011295389218679598,0.8000131791239417,1.8354916208500751,4.739941634749501,0.18271210917933564,0.024211386130734303,1.0
0.01200235669381926,0.8379939818079652,0.9267835665186155,5.747947698871125,0.26900443785606376,0.046170139462288165,1.0
0.009020833387230809,0.8807560947308097,0.3145845425007554,0.7350827498270647,20.0,2.3708663785568733,1.0
0.012755975322218014,0.17815130700613604,1.1735903369832488,20.0,0.4348820540593221,0.01150082381687891,1.0
0.014203943266005936,0.6612980559360295,0.18084341187228326,1.461219775024384,20.0,2.3576801804281704,1.0
0.01757287723972609,0.1658818997572355,1.1481799856398944,9.984177017369031,0.8625536675384553,0.0265899899444708,1.0
0.015928424525631257,0.578047315382479,0.7869920519149964,1.6370956950145175,1.1158857619490608,0.13866650627946875,1.0
